image_id,X,Y,Width,Height,English_text,French_text
2385863,73,290,136,60,this is a bench,
2385866,320,286,85,32,small black power cord,
2385877,246,45,244,139,a stainless steel bowl containing chips,
2385879,63,66,168,137,screen of a TV is on,
2385883,151,143,16,52,red and white neck tie,
2385886,157,87,123,120,Three printers on a table,
2385892,0,0,333,258,The sky is blue.,
2385896,103,7,392,327,orchid in white ceramic vase,
2385904,139,25,222,290,the teddy bear on a pole,
2385908,300,5,172,145,Box is black color.,
2385910,176,120,6,7,The beak of the duck on the left.,
2385912,241,300,18,12,a cell phone sticking out of a pocket on a pair of jeans,
2385914,71,59,85,125,lady wearing short sleeve orange T shirt,
2385917,148,11,252,320,tennis player with a white shirt,
2385918,39,186,31,26,small front tire on back airplane,
2385922,64,35,433,287,there is a group of sheep searching the grond for pieces of hay to snack on,
2385927,98,200,147,98,a worn toilet seat,
2385930,55,127,352,112,people sking down a slop,
2385933,335,103,36,28,The red hat the kid is wearing.,
2385936,234,120,20,22,The tail of the plane.,
2385937,96,160,58,125,spotted giraffe in wild,
2385940,212,234,235,132,The person hand is on the laptop.,
2385942,111,335,147,135,a strip tie,
2385948,227,145,15,18,The helmet on the snowboarder's head.,
2385949,22,5,425,368,Kitchen in a house.,
2385950,220,105,84,80,man surfing in green ocean,
2385952,87,45,349,379,boy jumping into the air,
2385963,138,1,134,106,man has dark hair,
2385969,127,105,337,83,a long red train,
2385970,57,10,186,444,street signs on a pole,
2385971,301,148,141,134,underside of plane engine,
2385984,183,110,214,275,an empty jar on a table,
2385987,32,80,388,170,a white boat on water,
2385992,98,174,66,62,A small laptop computer,
2385994,232,62,133,68,A hospital bed with a lady in it,
2385997,46,15,391,187,A large mountain in the background,
2385998,0,5,497,362,people attending an event,
2385999,0,205,225,126,back of upholstered chair,
2386001,155,146,40,74,blue and white hand towel,
2386004,28,82,409,204,Boat on the water.,
2386006,168,108,207,127,the kids are about to fly kites,
2386007,135,89,84,115,Window in an airplane,
2386008,12,72,61,76,brown hair on a teddy bear,
2386010,3,1,399,360,Dog in the car.,
2386013,239,72,172,260,MAN WEARING A WEDDING BAND ON HIS FINGER,
2386016,77,87,238,204,a road sign.,
2386018,0,1,495,376,bagel is half eaten,
2386019,31,327,316,168,A Green Jeep,
2386024,158,131,26,37,a teddy bear figure,
2386025,201,56,248,295,A young girl is playing with a tennis racket,
2386027,193,96,57,40,black object at edge of court,
2386029,80,115,32,23,lampshade near the bed.,
2386030,166,325,27,28,part of a floor,
2386031,177,1,262,354,white dog on sidewalk,
2386034,315,71,16,25,the girl is wearing a necklace,
2386036,0,55,499,311,Three uncooked pizzas on the table,
2386037,159,55,87,70,orange Frisbee,
2386039,183,137,69,113,a man wearing black pants on a skateboard,
2386041,250,305,56,58,a tower crane working,
2386042,211,233,72,49,The pot is made of metal.,
2386043,214,386,85,57,small silver toy car,
2386046,45,166,189,318,the sheep is posing for the camera,
2386055,200,85,172,30,Three white freight cars,
2386057,148,291,116,72,Person sitting in snow,
2386058,5,12,130,122,picture of golden face,
2386060,2,19,497,330,Two halfs of a egg and vegetable sandwhich,
2386065,0,75,161,100,a big white wave.,
2386071,1,333,372,159,deep white tub with towel,
2386073,41,162,245,167,cat,
2386074,9,280,147,40,The photo has a watermark.,
2386078,199,2,174,369,boy with short blonde hair,
2386082,317,246,66,45,red and white flag,
2386083,3,6,369,490,lemons in a tree,
2386089,190,82,252,196,A little brown and white horse.,
2386091,23,85,146,132,a vase with flowers,
2386094,63,23,418,308,a big elephant,
2386098,0,0,498,167,ocean water at the beach,
2386104,328,108,65,75,the man is holding his hand in front of the meter so they can read it,
2386108,176,72,87,17,crystal clear blue skies,
2386109,358,124,107,161,mason jar filled with brown liquid,
2386112,391,228,30,29,green grass and brown dirt,
2386113,8,21,484,302,The table cloth is white,
2386114,43,2,428,331,the motorcycle is parked,
2386116,167,65,144,112,a dog inside a suitcase,
2386124,362,129,12,22,AMERICAN FLAG FLYING IN THE BACKGROUND,
2386125,216,31,140,193,Woman has long hair.,
2386130,49,214,160,117,an oval wooden table in a dining room,
2386134,150,1,101,81,woman is wearing dark helmet,
2386135,246,215,17,31,Red paint on the train,
2386136,4,207,487,121,asphalt road,
2386139,35,86,401,285,People on the dock.,
2386145,18,173,93,156,people standing beside train,
2386146,425,212,70,115,tail feathers of a falcon,
2386147,22,177,126,62,white umbrellas above chairs,
2386148,305,108,70,25,Easy jet plane in flight,
2386156,2,173,242,95,Silver compact car,
2386160,0,133,94,189,The dog is on a leash.,
2386162,8,17,444,357,a bedroom,
2386163,38,147,68,46,small train car carrying passengers,
2386164,154,265,183,59,three zebras in a field,
2386165,245,187,159,178,man's shirt is green,
2386168,52,73,278,396,Giraffe in the wild.,
2386180,128,25,165,298,long piece of banana on top of an apple,
2386186,158,85,95,232,tennis player wearing a white shirt and black shorts,
2386193,1,7,495,365,Beef and broccoli,
2386194,25,68,430,260,a group of skiers and snowboarders,
2386197,160,127,146,120,fully-clothed man floating on board in water,
2386202,0,208,321,291,The sidewalk is gray.,
2386208,96,97,148,115,red and white bus,
2386210,0,158,28,67,a woman walking on a tennis court,
