image_id,X,Y,Width,Height,English_text,French_text
2404888,261,21,142,133,the black bear in the forest,
2404890,443,18,38,29,part of the sky,
2404893,0,1,332,498,An outdoor commercial area.,
2404896,188,203,159,97,White birthday cake with icing,
2404898,0,222,143,222,blue barrels are stacked up,
2404899,242,145,202,213,An orange cat sitting in a vehicle.,
2404902,390,16,71,70,A round brown clock.,
2404905,2,1,497,330,Two blonde furred bears playing in the water.,
2404909,7,10,447,250,A gray sky full of clouds.,
2404910,208,167,68,40,The girl has on black shorts.,
2404911,77,37,25,31,gray tip of clock tower,
2404914,137,163,66,35,A clock with roman numerals,
2404924,251,336,29,20,Front hoof of a horse.,
2404928,63,96,118,170,colorful unframed poster on wall with a large skeleton depicted,
2404934,51,21,389,290,The bus is a double decker.,
2404944,266,177,22,17,Silver back of a mirror on a motorcycle.,
2404945,282,263,75,188,man wearing blue hat,
2404952,162,14,214,310,decorative city clock,
2404957,149,124,192,125,The zebra is black and white.,
2404963,0,48,209,121,a temporary fence with cloth material,
2404970,54,232,89,62,green bowl on coffee table,
2404972,137,92,219,407,A guy playing wii.,
2404975,283,256,65,45,Doughnuts in a case.,
2404981,121,130,318,267,keyboard is black and bulky,
2404990,0,237,191,95,pineapples in boat,
2404991,50,81,76,132,Man with dreadlocks in his hair,
2404993,0,0,499,372,A display of baked goods.,
2404996,1,0,395,329,Woman in pink top on the phone,
2404998,319,138,113,39,The water is green.,
2404999,68,33,392,285,a red caboose of a train,
2405003,65,105,58,46,a person snowboarding,
2405014,21,75,455,217,Five cows in a field.,
2405015,123,263,47,56,tennis ball is round and yellow,
2405016,238,176,60,22,man with a smile,
2405019,57,150,170,124,boat cabin is blue,
2405021,163,76,283,91,Large oval black sign with white lettering.,
2405026,231,146,171,101,The white word STOP on a sign.,
2405027,31,21,451,297,the ocean,
2405033,46,19,320,354,The animals are cows,
2405036,1,6,491,320,Man enjoying surfing in Ocean,
2405038,71,64,165,194,Goat has many horns,
2405043,128,57,215,230,man is surfing in the ocean,
2405046,145,16,87,133,a man who has little hair,
2405048,91,35,349,242,partially eaten pizza,
2405049,32,25,434,443,sandwich and french fries,
2405058,4,249,102,22,Photographer's name in the lower left corner,
2405065,84,45,252,432,man walking in rain with umbrella,
2405071,292,182,116,39,body of water beside hill,
2405072,227,5,40,43,part of lamp,
2405075,73,169,94,154,this is a bear,
2405078,318,99,76,56,windshield on right side of truck,
2405080,360,68,54,189,this is a woman,
2405086,138,18,211,159,Missing slice in pizza,
2405089,245,92,215,189,donut is black and brown,
2405102,22,123,134,107,A red train engine.,
2405106,22,77,471,419,Round white plate with food on it.,
2405129,247,150,224,244,shoe is blue with blue laces,
2405139,214,178,47,123,this is a giraffe,
2405154,125,76,124,88,this is a kite,
2405158,269,318,25,16,part of a door handle,
2405163,291,32,67,61,part of the sky,
2405164,468,284,31,45,White bowl sitting on counter,
2405182,62,285,125,40,these zebras are drinking water,
2405183,241,226,66,40,part of some green grass,
2405187,137,33,243,286,bicyclists riding side by side,
2405192,301,271,115,68,a shiny black SUV driving down the street,
2405193,67,86,180,169,brown horse in the grass,
2405194,170,250,31,35,white bird on vase.,
2405197,121,75,148,89,black bear walking on grass,
2405198,272,58,139,315,this is a goalkeeper,
2405202,25,167,20,22,a tennis ball in mid-air,
2405203,64,52,427,217,plane is large and bulky,
2405205,148,79,156,68,this is a kite,
2405206,126,241,200,163,Flags are on the wall.,
2405215,294,198,28,95,four vertical balloons,
2405218,149,92,187,164,A black and white cat.,
2405222,412,26,83,94,the sand is brown,
2405226,14,77,398,246,yellow and blue train next to platform,
2405227,47,38,340,391,one horse is seen.,
2405229,95,188,302,140,large iced cake,
2405232,51,30,365,260,this is a zebra,
2405236,380,327,81,45,Ground is grey color.,
2405237,16,108,25,190,this is a table,
2405240,0,25,116,105,Grey tall grass growing over the wall.,
2405245,433,115,20,27,part of a white top,
2405247,136,206,23,23,A brown oat on a spoon.,
2405249,19,1,424,312,a little girl sitting on the ground with her teddy bear,
2405251,225,92,70,104,A snowboarder in red.,
2405262,193,2,296,240,A man snowboarder in the air.,
2405267,143,234,13,16,this is the gray letter T,
2405269,27,54,418,282,Black and white zebra,
2405276,25,4,405,320,Man holding a donut.,
2405281,71,61,77,118,Large kite in the sky.,
2405284,6,269,318,97,this is a rock,
2405285,287,70,85,125,The clear blue sky.,
2405296,226,21,37,26,edge of a glass,
2405311,290,7,125,64,black and white flying seagulls,
2405319,314,169,183,135,car is metal and silver,
2405328,157,57,142,315,a woman looking at a cell phone,
2405332,232,22,55,52,part of the sky,
2405334,20,45,450,265,man in military uniform speaking,
2405337,62,11,85,181,meter with hour glass figure,
2405338,159,140,23,45,Tall brown telephone pole,
2405347,274,79,87,100,shadow of a tennis racket,
2405348,47,32,83,73,section of blue sky,
2405358,156,91,205,133,giraffe with one visible eye,
2405366,15,230,72,119,woman wearing yellow safety vest,
2405369,0,0,468,338,The dog is sleeping.,
2405371,229,176,40,29,part of the ground,
2405372,24,332,197,39,Part of a pamphlet or magazine on table,
