image_id,X,Y,Width,Height,English_text,French_text
2344356,100,154,165,88,boat on the water,
2344357,265,280,15,18,icon on the computer,
2344371,336,213,51,21,brick on the container,
2344373,211,128,24,20,a kite flying in the air,
2344374,14,36,424,125,the umbrella is red,
2344381,193,65,180,158,A person with skateboard,
2344383,234,97,67,54,the kite is red,
2344384,15,94,340,232,THAT IS A NEST,
2344385,51,166,270,199,the couch is red,
2344392,165,212,40,59,Black and white cow with horns.,
2344394,216,132,45,37,the head of a man,
2344403,411,37,65,76,Cycle parked in the road,
2344405,305,145,159,186,curved ski trail marks in snow,
2344407,136,36,318,210,Mouse kept in the glass table,
2344408,264,108,84,169,small pieces of choped garlic,
2344412,100,74,190,117,A snowboarder jumping through the air.,
2344414,164,270,168,229,gray material in the tub.,
2344427,302,193,60,180,the pole is gray,
2344436,15,75,133,353,the tower is white,
2344440,4,2,493,328,A down hill skiing scene,
2344444,296,377,90,71,The basil is green.,
2344445,223,34,155,97,a man on a surfboard,
2344446,66,78,54,47,the horn is black,
2344461,173,18,171,311,Man wearing a blue shirt.,
2344462,211,100,45,20,he's wearing sunglasses,
2344466,220,18,160,312,woman is wearing a scarf,
2344476,46,35,165,207,a man walking on the beach,
2344477,2,1,371,400,the cloudy sky above the building,
2344479,316,208,27,27,the emblem is yellow,
2344485,11,6,471,363,elephant with tusks,
2344486,214,95,122,70,the plant on the shelf,
2344487,64,279,291,203,A collection of metal bats,
2344490,278,289,21,21,edge of a stone,
2344494,408,5,40,22,white frisbee flying through air,
2344495,26,16,418,257,a zebra in a zoo,
2344502,5,81,122,153,Two people holding guitars,
2344507,116,63,126,147,clock on the pole,
2344511,28,15,452,42,clear plastic container for food,
2344512,278,306,221,24,paved road for smooth rides,
2344515,159,315,50,78,silver faucet on the wall,
2344517,153,60,97,187,woman is washing her hands,
2344520,106,143,55,53,yellow flying frisbee upwards,
2344521,296,203,186,101,bikes on teh road,
2344524,33,144,292,246,the pizza is round,
2344525,186,15,212,143,little girl has pig tails,
2344526,390,265,16,7,The dogs nose is black.,
2344531,16,327,189,109,man wearing a holster,
2344532,132,123,46,5,Two cats with head out of window.,
2344536,259,28,35,58,yellow lines on the pole,
2344541,83,22,357,347,A white laptop on the table.,
2344552,50,35,367,231,The man is on a surfboard.,
2344562,160,239,17,20,a wheel on a skateboard,
2344563,195,97,101,146,a woman on a surf board,
2344564,125,10,33,30,digital number print on a bus,
2344571,314,295,31,20,flower on the bed,
2344572,110,0,307,327,black double decker bus,
2344573,219,125,44,74,surfer,
2344574,0,97,147,215,a man in a blue and white striped shirt,
2344577,104,114,94,91,surfer,
2344578,153,118,80,129,tall stainless steel shaker,
2344579,262,340,75,130,this is a sock,
2344588,3,19,132,85,waves crashing on water,
2344598,122,117,316,183,A train in the foreground,
2344600,6,28,483,296,two trains going down a train track,
2344606,62,31,437,423,the bus is vintage,
2344609,116,52,325,244,elephants in a concrete pen,
2344610,6,48,480,424,a pizza,
2344616,138,134,75,143,an owl sitting on a perch,
2344625,129,10,282,153,large window for viewing the outside,
2344626,83,45,205,425,giraffe on a field,
2344634,229,160,68,135,stop sign on road,
2344642,106,32,57,159,brown clock tower,
2344647,10,36,482,294,women are sitting on the chair,
2344651,5,87,82,195,Calendar on the back board.,
2344652,256,36,243,337,Tan cup of dark liquid,
2344655,105,99,131,275,Woman sitting on edge of bed,
2344656,232,288,124,51,these are the glasses,
2344662,143,79,330,277,skier flying down snow on mountain slope,
2344663,129,63,14,12,the tennis ball is in the air,
2344668,157,113,130,118,man in plaid shirt on skateboard,
2344674,47,91,62,52,stack of fresh white towels,
2344678,184,29,53,35,rainbow colored bird shaped kite,
2344680,327,117,88,139,giraffe head behind tree,
2344682,392,47,79,83,balding man in tan jacket,
2344684,157,143,40,30,the sun is setting,
2344687,165,158,71,84,black dog's silky right ear,
2344688,1,0,497,446,large area of calm water,
2344694,293,81,176,140,this person is surfing,
2344706,122,61,233,217,A man skiing down the slope with one hand up in the air.,
2344710,15,0,319,65,pine trees in the snow,
2344719,136,125,360,205,the landscaping of a courtyard,
2344720,13,108,485,203,the vehicles on the road,
2344730,15,150,389,150,a discarded banana peel,
2344736,175,131,106,242,A large upside down banana.,
2344737,153,84,72,106,paramedic with blue gloves,
2344738,338,287,32,17,desserts on a marble table,
2344740,394,54,9,11,A bird flying in the sky,
2344743,108,83,390,320,A sandwich and french fries on a plate,
2344744,207,286,102,73,Laptop Computer with a post-it note,
2344747,120,188,96,299,a boy with a green skateboard,
2344749,122,445,26,52,white cement ash tray,
2344751,135,149,22,23,Yellow tennis ball in flight,
2344753,153,33,54,41,the blue baseball cap,
2344755,0,0,215,100,office window with a metal frame,
2344758,17,54,22,21,bush with yellow flowers,
2344770,73,118,135,139,skier in the air,
2344775,52,13,386,361,Young man holds his skateboard.,
2344778,17,18,480,324,people at a gathering,
2344782,5,0,491,373,Food is on the table.,
2344785,153,53,185,183,A small piece of cake.,
