image_id,X,Y,Width,Height,English_text,French_text
2368978,167,44,227,400,Man doing a trick on his skateboard,
2368984,239,127,35,70,an emergency door of a plane,
2368985,138,304,12,20,side of a fridge,
2368992,1,192,160,126,a person holding a fork,
2368995,366,293,38,29,Small part of the black runway,
2368996,150,47,125,236,black bird with shiny blue breast,
2368997,259,169,12,51,edge of a train,
2368998,128,223,61,51,a clock,
2369004,226,136,131,182,The dog is sitting.,
2369005,1,53,372,379,a brown teddy bear,
2369015,393,313,87,34,license plate on car,
2369025,147,27,69,42,White frisbee in air,
2369032,126,1,372,372,A tall grassy field,
2369033,100,39,360,314,the cats head is in the box,
2369039,440,283,28,36,Chipped white paint on the yellow building,
2369043,200,208,102,199,Woman holding a black umbrella in the rain,
2369054,111,135,85,152,two men in a horse pulled wagon,
2369058,79,249,140,161,a cow standing,
2369064,302,97,191,173,Stripes on a shirt,
2369066,114,44,39,75,black trafic signal,
2369067,297,283,116,60,The ground is covered in snow,
2369070,128,72,326,227,Food sitting on white plate.,
2369076,0,28,325,468,bride and groom walking on boardwalk,
2369079,29,79,73,71,A blue and gold painted plane tail,
2369081,75,326,49,150,a woman wearing purple standing in front of a building,
2369084,146,253,161,33,A skateboard on the man's feet,
2369086,66,369,235,103,yellow rescue surf board,
2369087,23,122,55,71,A white snow boarder.,
2369093,298,99,102,118,Woman has dark hair,
2369095,238,210,23,22,blackberry on the raspberry pie,
2369098,358,108,140,216,The hardwood floor is light brown,
2369099,177,15,319,151,People flying kites,
2369101,42,15,422,322,The broccoli in the pot.,
2369102,231,45,48,54,part of a glass,
2369105,205,90,72,59,Person on a horse,
2369111,0,250,317,46,Feet on a skate board,
2369115,157,63,110,59,person holding a white umbrella,
2369119,57,135,136,311,a tower of red brick,
2369125,57,45,265,149,foreground zebra grazing on grass,
2369128,7,38,487,62,horizon in the far distance,
2369129,188,90,227,94,red and yellow car in train,
2369146,225,38,17,30,green traffic signal,
2369155,114,105,57,36,red and white kite,
