image_id,X,Y,Width,Height,English_text,French_text
2372466,238,193,27,16,meat topping on a pizza,
2372467,2,1,485,251,The train is white and black,
2372472,65,107,225,203,stuffed animal sitting on a laptop,
2372484,158,10,134,486,the clear bottle on the table,
2372487,35,36,397,252,a truck on a rack,
2372491,250,188,23,20,picture on wall,
2372497,334,97,78,22,An elephant tail in the photo.,
2372502,71,130,155,282,Man tennis player preparing to serve,
2372503,256,128,149,182,macaroni and cheese,
2372505,178,128,130,103,lone black faced sheep,
2372511,310,134,85,222,A white dress in the photo.,
2372514,3,184,239,259,the truck is black,
2372517,42,301,152,70,Pile of sauteed onions in pan,
2372523,272,123,119,96,this is an egg,
2372529,2,155,366,339,plate with food on it,
2372531,22,299,56,74,A baby duckling,
2372535,222,127,87,57,freshly home made bread,
2372538,230,307,159,32,edge of silver fence,
2372539,105,86,76,30,woman is wearing sun glasses,
2372548,76,182,100,85,A woman's bicycle parked against the wall,
2372553,35,45,447,326,This is a zebra,
2372554,56,82,256,220,the man is surfing,
2372555,4,45,118,207,poste with red background hanging on wall,
2372557,134,47,164,172,boy is playing tennis,
2372558,349,150,20,54,man wearing gray sweatshirt,
2372569,225,152,84,140,man playing tennis,
2372572,106,84,7,7,window on side of building,
2372573,1,1,218,177,stuffed panda to the left of stuffed panda,
2372574,23,366,251,115,The ground is made of asphalt,
2372577,4,7,492,365,A street intersection scene,
2372579,120,74,138,302,rusty old fire hydrant,
2372580,164,95,100,120,A kite with a flying pig design.,
2372581,33,15,466,188,group of four dogs,
2372587,14,88,477,246,a classic antique car,
2372588,116,55,110,201,A red white and blue fire hydrant,
2372591,297,203,70,58,watermelon with end cut off,
2372597,132,116,199,379,A man dragging a suitcase,
2372606,255,227,135,85,shadow of a skier,
2372607,155,316,58,126,a white flower painted vase.,
2372613,127,43,39,32,the carrots are long,
2372614,161,167,69,55,frisbee in the air,
2372615,256,180,19,29,Bell hanging under the neck of the cow,
2372616,420,75,79,140,cow in a field,
2372617,15,66,470,251,a bench by the water,
2372620,63,234,69,59,kite above the ocean,
2372625,221,113,234,252,tennis player standing at baseline,
2372627,353,176,29,30,speck of snow in air,
2372629,340,161,40,49,white letter painted on building,
2372632,99,75,145,257,the man walking on the street,
2372636,157,252,36,39,clock on the side of the building,
2372638,285,216,97,127,man on skis at top of hill,
2372639,229,204,70,100,skier going down mountain,
2372642,2,122,496,360,two halves of a sandwich,
2372648,103,385,86,68,the shoe is gray,
2372651,19,23,455,280,the pattern appears to be the American Flag,
2372653,367,3,17,25,the windows of a building,
2372655,126,190,57,23,number 143 on the bus,
2372660,162,24,190,77,Blonde hair in the picture.,
2372673,47,0,366,332,two horses pulling a cart,
2372676,45,260,215,207,red double decker bus,
2372678,82,47,147,230,A boat sailing in the water.,
2372679,101,29,188,204,the train is green and yellow,
2372686,416,108,76,197,two kids standing by the elephants,
2372690,313,67,18,17,Round green light on traffic pole,
2372696,90,43,363,308,Bus parked on the road,
2372703,9,20,490,350,a food mart with packaged meat,
2372711,90,2,257,43,light coming in the windshield,
2372717,92,70,250,166,The zebroid is striped,
2372719,181,68,157,285,A giraffe in the trees,
2372743,100,66,22,22,goatee around the mouth,
2372744,170,282,52,57,left foot of skiier,
2372745,410,230,15,64,A red post in the ground.,
2372748,225,45,12,12,tennis ball in the air,
2372753,209,167,17,27,airplane in the sky,
2372763,428,43,64,142,man wear an apron,
2372766,193,55,285,198,one half panini sandwhich,
2372769,62,74,72,128,man riding a bicycle,
2372770,76,293,40,46,White poodle.,
2372771,99,64,272,232,The sheep is eating the grass,
2372775,133,137,109,223,A black refrigerator.,
2372779,209,149,102,36,a lip balm with pink lid,
2372780,175,118,182,107,A black and white goat,
2372786,214,60,153,300,a woman wearing a checkered white and red shirt,
2372792,375,157,85,111,player watching game from dugout,
2372794,17,9,471,320,Two rear ends of elephants,
2372795,123,267,41,79,the water dripping from the man's glove,
2372797,105,349,63,58,clock on side of building,
2372799,67,84,186,288,while clock tower on top of building,
2372802,29,22,291,157,the plane is flying,
2372807,210,241,17,17,neon yellow tennis ball,
2372811,107,269,62,57,the grass is dead,
2372819,130,298,56,23,a white base,
2372824,157,13,255,190,motorbike rider performing a flip,
2372826,156,11,173,156,A large kite being flown,
2372829,47,82,362,226,kites flying over beach,
2372830,195,215,52,48,left shoe of woman,
2372831,153,116,107,283,Man flying a kite in a park,
2372838,11,66,141,237,Boy running on the grass,
2372844,231,16,68,96,Light on hotel room wall,
2372847,1,14,318,325,woman eating a muffin,
2372856,247,238,45,57,right knee of guy,
2372860,150,68,176,74,the name of the place on the clock,
2372868,83,43,397,330,laptop on the desk,
2372875,15,117,225,72,A silver trian.,
2372880,100,0,126,327,skateboarder in motion,
2372884,17,9,453,308,a baseball scene at a park,
2372887,68,265,109,178,glass with a spoon in it,
2372894,111,13,112,80,man is wearing glasses,
2372896,199,57,152,142,elephant standing in green grass,
2372901,263,11,150,315,baseball player swinging,
2372903,397,111,96,117,Blue print on white tray,
2372913,42,21,447,423,woman leaning on something,
2372916,100,218,265,85,red and white bed cover,
2372917,129,110,332,106,wide white surfboard,
2372920,157,70,162,240,a bear standing up against the glass,
2372927,2,0,490,430,Young boy holding two saucers,
2372930,80,96,352,238,Several people flying kites,
2372942,49,93,41,77,Man in a green t shirt and baseball cap,
2372945,140,145,74,156,a woman serving a tennis ball,
2372946,112,128,255,150,Two yellow and green trains side by side,
2372951,207,162,50,38,white parasail,
2372953,130,39,101,85,fuchsia cap on a little girl,
2372959,52,173,157,198,A black framed bicycle.,
2372961,39,87,180,60,Circular red plastic frisbee,
2372966,15,13,271,173,fall leaves on tree,
2372968,2,212,75,117,blue trash can filled with paper,
2372969,291,167,98,125,Crane bird showing it's shadow.,
2372971,100,105,300,85,Yellow airplane in the air,
2372974,132,153,41,41,A white ball in the air,
2372980,100,26,172,116,a large red and yellow umbrella,
2372987,179,182,98,53,black kite,
2372991,88,79,55,146,Man carries skateboard,
2373000,131,121,255,145,Three giraffes standing outside,
2373001,41,55,191,261,a white porcelain toilet bowl,
2373003,11,0,251,466,a vehicle is going through slush,
2373007,192,175,178,68,designer's signature reads 'Karin',
2373008,351,125,97,198,a man sitting and playing the guitar,
2373009,192,158,69,51,large red kite flying through the air,
2373014,117,284,42,22,a man's tennis shoe,
2373016,132,186,58,59,falling snowboarder wearing a black beanie,
2373018,128,75,67,63,round top of a black trash bin,
2373023,3,178,494,150,net in middle of tennis court,
2373026,106,20,117,155,a small toy car,
2373027,146,127,112,167,Woman skiing down hill,
2373039,33,112,296,173,the train on the track,
2373043,4,86,491,102,Cargo airplane in the sky,
2373045,0,93,484,134,group of animals at the zoo,
2373047,195,98,60,17,a silver drawer handle,
2373050,14,34,445,134,white blue and gold plane in flight,
2373052,76,171,207,78,black and white street sign,
2373054,20,18,457,297,vegetables and butter in pot,
2373060,56,42,433,310,a hot dog on a white dish,
2373061,62,106,298,182,Brown cow,
2373063,316,161,12,62,Orange number on back of shirt,
2373065,88,138,235,211,black and red train,
2373067,75,125,138,67,arabic writing on traffic sign,
2373075,147,161,52,38,cow drinking from pond,
2373078,195,123,117,153,blue and gold clock,
2373079,266,139,67,94,young man riding red colored motorcycle,
2373081,103,7,230,75,brightly colored umbrella,
2373084,113,403,126,59,footprints in the sparkly sand,
2373086,10,135,282,193,this is a horse,
2373087,11,61,211,137,Blue and white sign that says pistoia,
2373090,52,321,86,74,Group of people walking on a grass path,
2373092,390,116,105,135,A mini marshmallow,
2373099,240,110,63,105,A partially eaten banana.,
2373109,235,325,248,69,a brown dog's paw.,
2373112,205,16,130,136,Man riding a brown horse,
2373115,19,156,253,150,Graffiti on a train car,
2373117,309,150,82,58,Large banner hung on fence,
2373120,87,126,318,193,A red train engine,
2373122,44,18,453,243,a boat in the water,
2373129,33,120,34,88,A man with a blue backpack.,
2373141,126,0,284,389,A man with a black sheep,
2373142,0,240,332,258,a white porcelain toilet,
2373143,10,192,316,147,A bench with a duck under it,
2373145,347,104,47,87,A gallon of milk with a green lid.,
2373151,347,124,113,150,tan and brown spotted giraffe,
2373155,255,294,183,59,foam on top of the water,
2373157,213,107,31,22,man wearing a white headband,
2373159,76,460,9,12,part of a surface,
2373162,17,10,250,297,head of man wearing black and white cap,
2373169,345,66,135,200,a male tennis player,
2373172,272,99,37,36,Crystals on a chandelier hanging from the ceiling,
2373175,116,33,154,406,beer in brown bottle,
2373191,293,224,103,99,piece of meat with a brown crunchy crust,
2373195,449,146,40,53,this is a person,
2373196,4,81,35,65,This is a tall building,
2373202,37,157,189,137,glasses on table,
2373209,67,10,33,43,This is a letter,
2373220,13,152,39,42,whale snow on hillside,
2373222,117,407,115,56,baby's left foot,
2373225,416,34,25,20,man is wearing sun glasses,
2373228,0,160,132,299,giraffe,
2373232,15,193,392,77,Three elephants walking,
2373233,65,121,109,315,man dressed all wrong for tennis match,
2373240,35,45,232,152,a large white polar bear.,
2373241,32,36,438,280,Restored Vintage BMW Motorcycle,
2373242,187,25,45,49,part of the sky,
2373243,11,13,474,309,2 zebras on the African plain,
2373245,302,202,108,129,A toilet in the bathroom,
2373246,303,242,40,72,part of a trekking pole,
2373248,159,64,46,11,a white frisbee,
2373249,121,15,328,302,A jet in the sky.,
2373254,37,76,454,275,green and black train engine,
2373255,119,67,193,224,a woman sitting at table,
2373256,4,15,477,296,cyclists at a race,
2373258,85,0,402,210,the building is white,
2373260,2,1,496,330,Heavy raining day,
2373261,29,175,117,146,a long white line,
2373263,174,107,107,252,A man holding a soccer ball,
2373266,139,19,330,343,Blue double-decker bus.,
2373267,0,129,95,107,catcher,
2373268,149,228,177,27,this is a keyboard,
2373269,5,0,377,374,A cow with its tounge out,
2373275,78,21,367,311,this lady is playing tennis,
2373277,46,138,400,178,two ducks in the water,
2373280,12,15,40,37,White cloud in the sky.,
2373288,370,5,89,146,Statue of a man in the park,
2373290,378,281,116,92,this is a bag,
2373295,125,26,54,51,part of a ceiling,
2373300,32,23,447,333,a pan with pie crust,
2373302,3,0,490,368,people at the beach with an ox in the foreground,
2373309,282,276,16,21,part of a floor,
2373311,249,175,146,90,Older car parked by log cabin.,
2373312,105,122,213,372,this is a man on snow,
2373313,78,126,175,126,blue and silver messenger bag,
2373327,174,172,50,44,black and white clock,
2373328,418,170,32,21,White fluffy pom pom on a small santa hat,
2373337,35,36,398,322,food on an orange plate,
2373339,280,151,65,57,SKATE BOARDER IS WEARING GREEN HELMET,
2373341,176,70,100,74,blue and white ceramic tile,
2373346,99,174,85,87,this giraffe is bending over,
2373352,394,162,26,65,A sleeveless long red dress.,
2373354,280,59,37,37,a man with dark hair.,
2373355,21,129,305,170,zebra standing next to part of a tree trunk,
2373362,195,147,95,132,A person playing tennis,
2373368,0,71,85,54,woman holding tennis racquet,
2373369,82,64,301,270,Baseball player throwing ball,
2373375,242,136,180,122,a fighter jet flying,
2373378,191,21,73,80,two egg cartons,
2373380,166,152,50,25,the man has red shorts,
2373382,26,25,470,340,three shiny motorcycles in a window,
2373386,6,104,367,281,People eating in a restaurant,
2373387,113,43,382,285,The elephant appeared lonely.,
2373396,147,300,347,29,pitchers mound on baseball field,
2373398,16,15,464,297,Tennis player playing tennis,
2373400,185,91,105,115,a red sign near a body of water,
2373401,321,138,100,60,Sprinkles on top of icing,
2373407,4,27,467,255,two old fashion vehicles parked on a grassy field,
2373410,163,156,61,24,short green and brown grass,
2373414,18,0,461,372,Man eating a piece of cake,
2373415,190,114,95,102,Black and brown dog,
2373416,234,191,104,243,Man leaning on a couch,
2373420,129,28,305,301,a metal and wood bench,
2373429,79,171,412,159,two pairs of train tracks,
2373430,168,49,302,204,engine of the train,
2373435,2,230,490,35,train riding on bridge,
2373442,9,17,488,475,scenic view of man watching a waterway,
2373443,23,63,446,365,two tennis rackets on a surface,
2373448,99,172,134,83,a child's ladybug umbrella,
2373450,127,106,227,119,computer screens are turned on,
2373451,412,167,42,32,Two large garbage cans.,
2373454,121,81,117,260,Man riding brown horse,
2373461,250,90,248,284,dark skinned man on right,
2373462,313,327,100,78,Black and white cat,
2373466,13,231,117,52,three people on baseball field,
2373472,18,102,465,163,Animals are in grass.,
2373475,108,239,17,12,part of a bush,
