image_id,X,Y,Width,Height,English_text,French_text
2361924,21,121,67,76,blue sky above the plane,
2361932,359,237,113,94,faux rock watering tank,
2361941,73,46,384,278,A train at the station.,
2361946,2,23,65,228,colorful large artwork on wall,
2361948,284,103,107,139,a horse pulling a carriage,
2361953,206,345,22,62,Water bottle on ground.,
2361955,21,30,466,271,boat on a beautiful lake on a clear day,
2361956,33,123,120,127,the carrots are piled up,
2361957,207,70,65,150,this is a phone,
2361959,9,210,223,72,a shadow on the ground,
2361970,295,94,193,232,Dark To Clear Handles,
2361974,26,145,138,99,The waves on the beach,
2361977,202,144,24,17,two is written on the jersey,
2361978,13,101,319,305,wooden kitchen dish cupboard with stacks of plates and bowls,
2361982,401,279,20,57,part of a floor,
2361986,92,153,266,115,a white metal railing,
2361988,138,104,350,187,A sandwich on a plate,
2361997,15,12,234,331,this is a lady,
2361998,125,220,84,142,a baseball tee,
2362007,0,241,152,90,THE SKIS ARE GREEN,
2362009,227,228,25,19,knobs on the cabinet,
2362010,43,21,220,177,wall of a building made up of large windows,
2362012,222,210,106,84,the laptop is taken apart,
2362015,385,265,87,57,A yellow water hose.,
2362016,178,210,107,113,This is a train,
2362017,362,148,136,52,chain barrier behind the bike,
2362021,129,47,170,295,two people on an elephant,
2362023,103,214,26,30,black number 2 on sign,
2362026,180,130,48,117,the toothbrush in the baby's mouth,
2362027,164,50,56,194,A whitish fire hydrant,
2362028,44,58,160,252,two brown bananas on plate,
2362033,154,242,47,56,front tire of the motorcycle,
2362034,352,218,44,21,a brown horse eating in the field,
2362039,21,11,460,345,Motorcycles are parked on the lot,
2362052,441,260,8,15,part of a wall,
2362053,205,87,45,25,THE MAN IS WEARING A BLACK HELMET,
2362055,160,140,85,175,A man holding a green can,
2362057,376,98,81,137,The glass is two thirds full.,
2362059,62,37,375,235,white truck with flatbed,
2362066,8,3,490,297,A group of fruit together,
2362068,62,108,60,52,the visor is white,
2362069,5,50,485,265,The bus is traveling through the city,
2362071,305,159,105,117,the tire on the car,
2362079,12,23,484,335,a gathering of people at meal time,
2362080,342,120,125,159,a glass of dark red wine,
2362082,248,152,32,71,part of a number,
2362096,211,104,45,50,front of the surfboard,
2362099,281,143,40,52,scooby doo on top of the cake,
2362101,126,207,42,21,A Wii controller in a mans hand,
2362113,30,18,329,455,The cat is staring at something,
2362118,108,285,46,26,The lawn chaise is blue.,
2362120,212,188,45,115,blond woman walking with papers,
2362123,138,224,206,216,green ceramic vase on table,
2362126,17,213,231,125,THE RAMP SAYS SUPREME,
2362129,306,170,35,45,part of a laltop,
2362132,178,187,120,120,A white birthday cake.,
2362134,397,280,49,42,camo pattern rubber ducky,
2362137,221,298,101,83,The grass is short and green,
2362139,325,354,19,18,button on the toilet,
2362141,295,166,90,86,shadow on the ground,
2362144,232,164,103,147,The boy is on a skateboard.,
2362145,209,304,29,41,a pepperoni,
2362146,50,10,296,290,the man is wearing a green suit,
2362158,166,367,38,64,a mug on the tray,
2362161,335,195,13,38,this is a lady,
2362163,96,162,30,21,nose of the plane,
2362165,163,64,73,106,huge wall pannel mirror,
2362166,113,120,42,21,white bathroom tile on wall,
2362168,38,30,230,280,The man has two eyes.,
2362169,237,258,26,26,the woman is wearing black shoes,
2362175,83,203,170,227,a woman playing tennis,
2362177,29,2,436,306,asian blue and white tall vases,
2362181,16,116,252,132,slice of orange floating,
2362183,39,300,160,113,a donut stacked on a donut,
2362184,51,278,220,174,man holding pizza tray,
2362193,137,190,153,131,a small gold gong,
2362194,93,184,49,32,the bun ib brown,
2362195,336,139,82,85,A bird shaped decoration,
2362198,226,62,60,21,The crack in the wall,
2362199,206,90,83,113,A large head on a truck,
2362205,332,173,52,46,A yellow motor boat,
2362206,183,268,117,204,large cathedral in background,
2362208,250,16,38,30,Light on the ceiling,
2362209,33,53,425,273,A towel on the table,
2362213,81,44,375,211,exhaused cat starts falling asleep,
2362219,207,63,109,66,baseball cap worn backwards,
2362220,275,201,212,252,A small white pillow,
2362221,240,128,75,80,a small elephant,
2362222,10,13,468,310,A person is on a tennis court,
2362224,356,118,74,103,front of red and white bus,
2362228,1,0,497,63,Trees beyond the horses,
2362230,131,230,19,26,the light of the bus,
2362233,370,287,15,22,part of the grass,
2362241,3,153,111,216,some train tracks on the ground,
2362248,187,13,76,202,a man wearing a uniform,
2362249,160,379,45,36,the woman is wearing white tennis shoes,
2362256,106,398,30,28,The nose of the horse,
2362257,253,122,144,187,The monitor on the right,
2362259,2,325,149,160,a man with a bicydle,
2362268,0,2,499,330,the food on the table,
2362269,16,31,221,278,The man is playing tennis,
2362273,21,121,266,238,arched connection over road,
2362274,259,151,110,54,The cat's eyes are green.,
2362279,124,7,80,57,blue and white striped shirt,
2362280,371,183,14,17,part of a boat,
2362283,26,9,173,199,a kid lounging on the street,
2362290,27,51,236,95,french fry on bread,
2362292,339,80,149,109,a teddy bear behind a window,
2362297,126,119,260,199,the horse is relaxing,
2362308,14,13,485,306,two clocks on an old building,
2362313,149,32,106,215,the black bat in the man's hands,
2362314,87,6,266,131,Broccoli on the plate,
2362317,45,28,410,305,two zebras near each other,
2362318,12,71,474,170,a red white and blue plane,
2362319,27,15,180,115,This is a mobile phone,
2362323,84,48,359,279,dog begging for food,
2362327,132,115,100,241,baseball player at bat,
2362332,98,91,104,60,multi colored turban on man's head,
2362333,98,154,226,165,A man jumping cars.,
2362334,4,15,466,309,dog sitting on motorcycle,
2362351,144,155,57,107,a white cow in street,
2362357,449,98,50,57,a white baseball cap,
2362360,0,48,497,112,light of daytime sun,
2362361,205,42,113,290,A man playing frisbee,
2362363,160,73,115,200,man surfing on board,
2362364,119,172,252,241,a group posing,
2362368,457,98,27,27,A small yellow ball in the background.,
2362371,353,142,25,135,two clear bottles on counter top,
2362375,35,184,411,127,group of people riding motorcycles,
2362389,183,40,57,191,tall giraffe in grass field,
